,KODE_KEC,KODE_KK,KODE_PROV,KECAMATAN,KAB_KOTA,PROVINSI,FID
36,52.71.06,52.71,52,Sandubaya,Kota Mataram,Nusa Tenggara Barat,52.71.06
37,11.71.09,11.71,11,Ulee Kareng,Kota Banda Aceh,Aceh,11.71.09
38,36.73.04,36.73,36,Curug,Kota Serang,Banten,36.73.04
39,14.71.10,14.71,14,Tenayan Raya,Kota Pekanbaru,Riau,14.71.10
40,12.05.01,12.05,12,Bahorok,Langkat,Sumatera Utara,12.05.01
41,36.73.05,36.73,36,Cipocok Jaya,Kota Serang,Banten,36.73.05
42,52.71.04,52.71,52,Sekarbela,Kota Mataram,Nusa Tenggara Barat,52.71.04
43,14.71.15,14.71,14,Rumbai Timur,Kota Pekanbaru,Riau,14.71.15
44,12.05.02,12.05,12,Salapian,Langkat,Sumatera Utara,12.05.02
45,52.71.05,52.71,52,Selaprang,Kota Mataram,Nusa Tenggara Barat,52.71.05
46,14.71.13,14.71,14,Tuahmadani,Kota Pekanbaru,Riau,14.71.13
47,14.71.14,14.71,14,Kulim,Kota Pekanbaru,Riau,14.71.14
48,11.71.03,11.71,11,Meuraxa,Kota Banda Aceh,Aceh,11.71.03
49,11.71.04,11.71,11,Syiah Kuala,Kota Banda Aceh,Aceh,11.71.04
50,11.71.01,11.71,11,Baiturrahman,Kota Banda Aceh,Aceh,11.71.01
51,11.71.02,11.71,11,Kuta Alam,Kota Banda Aceh,Aceh,11.71.02
52,11.71.07,11.71,11,Banda Raya,Kota Banda Aceh,Aceh,11.71.07
53,11.71.08,11.71,11,Jaya Baru,Kota Banda Aceh,Aceh,11.71.08
54,11.71.05,11.71,11,Lueng Bata,Kota Banda Aceh,Aceh,11.71.05
55,11.71.06,11.71,11,Kuta Raja,Kota Banda Aceh,Aceh,11.71.06
56,72.05.10,72.05,72,Karamat,Buol,Sulawesi Tengah,72.05.10
57,72.05.11,72.05,72,Paleleh Barat,Buol,Sulawesi Tengah,72.05.11
58,12.05.16,12.05,12,Besitang,Langkat,Sumatera Utara,12.05.16
59,12.05.17,12.05,12,Sei Lepan,Langkat,Sumatera Utara,12.05.17
60,12.05.14,12.05,12,Babalan,Langkat,Sumatera Utara,12.05.14
61,12.05.15,12.05,12,Pangkalan Susu,Langkat,Sumatera Utara,12.05.15
62,12.05.18,12.05,12,Berandan Barat,Langkat,Sumatera Utara,12.05.18
63,12.05.19,12.05,12,Batang Serangan,Langkat,Sumatera Utara,12.05.19
64,33.10.19,33.10,33,Tulung,Klaten,Jawa Tengah,33.10.19
65,12.05.12,12.05,12,Padang Tualang,Langkat,Sumatera Utara,12.05.12
66,12.05.13,12.05,12,Gebang,Langkat,Sumatera Utara,12.05.13
67,33.10.17,33.10,33,Polanharjo,Klaten,Jawa Tengah,33.10.17
68,12.05.10,12.05,12,Hinai,Langkat,Sumatera Utara,12.05.10
69,33.10.18,33.10,33,Karanganom,Klaten,Jawa Tengah,33.10.18
70,12.05.11,12.05,12,Tanjung Pura,Langkat,Sumatera Utara,12.05.11
71,33.10.22,33.10,33,Ngawen,Klaten,Jawa Tengah,33.10.22
72,33.10.23,33.10,33,Kalikotes,Klaten,Jawa Tengah,33.10.23
73,33.10.20,33.10,33,Jatinom,Klaten,Jawa Tengah,33.10.20
74,33.10.21,33.10,33,Kemalang,Klaten,Jawa Tengah,33.10.21
75,33.10.26,33.10,33,Klaten Selatan,Klaten,Jawa Tengah,33.10.26
76,33.10.24,33.10,33,Klaten Utara,Klaten,Jawa Tengah,33.10.24
77,33.10.25,33.10,33,Klaten Tengah,Klaten,Jawa Tengah,33.10.25
78,14.01.03,14.01,14,Tambang,Kampar,Riau,14.01.03
