,KODE_KEC,KODE_KK,KODE_PROV,KECAMATAN,KAB_KOTA,PROVINSI,FID
1341,33.74.15,33.74,33,Ngaliyan,Kota Semarang,Jawa Tengah,33.74.15
1342,33.74.16,33.74,33,Tugu,Kota Semarang,Jawa Tengah,33.74.16
1343,33.26.01,33.26,33,Kandangserang,Pekalongan,Jawa Tengah,33.26.01
1344,33.26.02,33.26,33,Paninggaran,Pekalongan,Jawa Tengah,33.26.02
1345,15.04.07,15.04,15,Bajubang,Batanghari,Jambi,15.04.07
1346,15.04.08,15.04,15,Maro Sebo Ilir,Batanghari,Jambi,15.04.08
1347,16.08.04,16.08,16,Cempaka,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.04
1348,16.08.05,16.08,16,Buay Pemuka Peliung,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.05
1349,16.08.02,16.08,16,Buay Madang,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.02
1350,16.08.03,16.08,16,Belitang,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.03
1351,32.02.37,32.02,32,Pabuaran,Sukabumi,Jawa Barat,32.02.37
1352,16.08.08,16.08,16,Semendawai Suku III,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.08
1353,32.02.38,32.02,32,Purabaya,Sukabumi,Jawa Barat,32.02.38
1354,16.08.09,16.08,16,Belitang II,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.09
1355,35.28.12,35.28,35,Kadur,Pamekasan,Jawa Timur,35.28.12
1356,32.02.35,32.02,32,Cireunghas,Sukabumi,Jawa Barat,32.02.35
1357,16.08.06,16.08,16,Madang Suku II,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.06
1358,35.28.13,35.28,35,Pasean,Pamekasan,Jawa Timur,35.28.13
1359,32.02.36,32.02,32,Sukalarang,Sukabumi,Jawa Barat,32.02.36
1360,16.08.07,16.08,16,Madang Suku I,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.07
1361,35.28.10,35.28,35,Waru,Pamekasan,Jawa Timur,35.28.10
1362,35.28.11,35.28,35,Batumarmar,Pamekasan,Jawa Timur,35.28.11
1363,32.02.39,32.02,32,Nyalindung,Sukabumi,Jawa Barat,32.02.39
1364,33.26.16,33.26,33,Wiradesa,Pekalongan,Jawa Tengah,33.26.16
1365,33.26.17,33.26,33,Siwalan,Pekalongan,Jawa Tengah,33.26.17
1366,33.26.14,33.26,33,Buaran,Pekalongan,Jawa Tengah,33.26.14
1367,32.02.30,32.02,32,Kadudampit,Sukabumi,Jawa Barat,32.02.30
1368,16.08.01,16.08,16,Martapura,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.01
1369,33.26.15,33.26,33,Tirto,Pekalongan,Jawa Tengah,33.26.15
1370,32.02.33,32.02,32,Sukaraja,Sukabumi,Jawa Barat,32.02.33
1371,64.01.04,64.01,64,Tanah Grogot,Paser,Kalimantan Timur,64.01.04
1372,33.26.18,33.26,33,Karangdadap,Pekalongan,Jawa Tengah,33.26.18
1373,32.02.34,32.02,32,Kebonpedes,Sukabumi,Jawa Barat,32.02.34
1374,64.01.05,64.01,64,Kuaro,Paser,Kalimantan Timur,64.01.05
1375,33.26.19,33.26,33,Wonokerto,Pekalongan,Jawa Tengah,33.26.19
1376,32.02.31,32.02,32,Caringin,Sukabumi,Jawa Barat,32.02.31
1377,64.01.02,64.01,64,Tanjung Harapan,Paser,Kalimantan Timur,64.01.02
1378,32.02.32,32.02,32,Sukabumi,Sukabumi,Jawa Barat,32.02.32
1379,64.01.03,64.01,64,Paser Belengkong,Paser,Kalimantan Timur,64.01.03
1380,64.01.08,64.01,64,Long Kali,Paser,Kalimantan Timur,64.01.08
1381,64.01.09,64.01,64,Batu Engau,Paser,Kalimantan Timur,64.01.09
1382,64.01.06,64.01,64,Long Ikis,Paser,Kalimantan Timur,64.01.06
1383,33.26.12,33.26,33,Wonopringgo,Pekalongan,Jawa Tengah,33.26.12
1384,64.01.07,64.01,64,Muara Komam,Paser,Kalimantan Timur,64.01.07
1385,33.26.13,33.26,33,Kedungwuni,Pekalongan,Jawa Tengah,33.26.13
1386,33.26.10,33.26,33,Sragi,Pekalongan,Jawa Tengah,33.26.10
1387,33.26.11,33.26,33,Bojong,Pekalongan,Jawa Tengah,33.26.11
1388,64.01.01,64.01,64,Batu Sopang,Paser,Kalimantan Timur,64.01.01
1389,16.08.15,16.08,16,Semendawai Timur,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.15
1390,16.08.16,16.08,16,Jayapura,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.16
1391,16.08.13,16.08,16,Madang Suku III,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.13
1392,16.08.14,16.08,16,Semendawai Barat,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.14
1393,16.08.19,16.08,16,Belitang Mulya,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.19
1394,32.02.46,32.02,32,Cimanggu,Sukabumi,Jawa Barat,32.02.46
1395,16.08.17,16.08,16,Belitang Jaya,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.17
1396,32.02.47,32.02,32,Ciambar,Sukabumi,Jawa Barat,32.02.47
1397,16.08.18,16.08,16,Belitang Madang Raya,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.18
1398,32.02.40,32.02,32,Gegerbitung,Sukabumi,Jawa Barat,32.02.40
1399,16.08.11,16.08,16,Bunga Mayang,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.11
1400,32.02.41,32.02,32,Sagaranten,Sukabumi,Jawa Barat,32.02.41
1401,16.08.12,16.08,16,Buay Madang Timur,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.12
1402,16.08.10,16.08,16,Belitang III,Ogan Komering Ulu Timur,Sumatera Selatan,16.08.10
1403,32.02.44,32.02,32,Cidadap,Sukabumi,Jawa Barat,32.02.44
1404,32.02.45,32.02,32,Tegalbuleud,Sukabumi,Jawa Barat,32.02.45
1405,92.03.10,92.03,92,Pariwari,Fak Fak,Papua Barat,92.03.10
1406,32.02.42,32.02,32,Curugkembar,Sukabumi,Jawa Barat,32.02.42
1407,92.03.11,92.03,92,Wartutin,Fak Fak,Papua Barat,92.03.11
1408,32.02.43,32.02,32,Cidolog,Sukabumi,Jawa Barat,32.02.43
1409,64.01.10,64.01,64,Muara Samu,Paser,Kalimantan Timur,64.01.10
1410,16.05.01,16.05,16,Tugumulyo,Musi Rawas,Sumatera Selatan,16.05.01
1411,92.03.14,92.03,92,Mbahamdandara,Fak Fak,Papua Barat,92.03.14
1412,16.05.02,16.05,16,Muara Lakitan,Musi Rawas,Sumatera Selatan,16.05.02
1413,92.03.15,92.03,92,Kayauni,Fak Fak,Papua Barat,92.03.15
1414,92.03.12,92.03,92,Fakfak Timur Tengah,Fak Fak,Papua Barat,92.03.12
1415,92.03.13,92.03,92,Arguni,Fak Fak,Papua Barat,92.03.13
1416,18.08.02,18.08,18,Kasui,Way Kanan,Lampung,18.08.02
1417,16.05.03,16.05,16,Muara Kelingi,Musi Rawas,Sumatera Selatan,16.05.03
1418,92.03.16,92.03,92,Furwagi,Fak Fak,Papua Barat,92.03.16
1419,18.08.03,18.08,18,Banjit,Way Kanan,Lampung,18.08.03
1420,92.03.17,92.03,92,Tomage,Fak Fak,Papua Barat,92.03.17
1421,18.08.01,18.08,18,Blambangan Umpu,Way Kanan,Lampung,18.08.01
1422,18.08.06,18.08,18,Pakuan Ratu,Way Kanan,Lampung,18.08.06
1423,18.08.07,18.08,18,Negeri Agung,Way Kanan,Lampung,18.08.07
1424,18.08.04,18.08,18,Baradatu,Way Kanan,Lampung,18.08.04
1425,18.08.05,18.08,18,Bahuga,Way Kanan,Lampung,18.08.05
1426,82.02.09,82.02,82,Weda Timur,Halmahera Tengah,Maluku Utara,82.02.09
1427,82.02.07,82.02,82,Weda Tengah,Halmahera Tengah,Maluku Utara,82.02.07
1428,82.02.08,82.02,82,Patani Barat,Halmahera Tengah,Maluku Utara,82.02.08
1429,82.02.01,82.02,82,Weda,Halmahera Tengah,Maluku Utara,82.02.01
1430,82.02.02,82.02,82,Patani,Halmahera Tengah,Maluku Utara,82.02.02
1431,16.05.09,16.05,16,Muara Beliti,Musi Rawas,Sumatera Selatan,16.05.09
1432,63.09.01,63.09,63,Banua Lawas,Tabalong,Kalimantan Selatan,63.09.01
1433,63.09.02,63.09,63,Kelua,Tabalong,Kalimantan Selatan,63.09.02
1434,82.02.05,82.02,82,Weda Selatan,Halmahera Tengah,Maluku Utara,82.02.05
1435,16.05.08,16.05,16,Jayaloka,Musi Rawas,Sumatera Selatan,16.05.08
1436,82.02.06,82.02,82,Patani Utara,Halmahera Tengah,Maluku Utara,82.02.06
1437,82.02.03,82.02,82,Pulau Gebe,Halmahera Tengah,Maluku Utara,82.02.03
1438,82.02.04,82.02,82,Weda Utara,Halmahera Tengah,Maluku Utara,82.02.04
1439,18.08.08,18.08,18,Way Tuba,Way Kanan,Lampung,18.08.08
1440,16.05.12,16.05,16,Megang Sakti,Musi Rawas,Sumatera Selatan,16.05.12
1441,18.08.09,18.08,18,Rebang Tangkas,Way Kanan,Lampung,18.08.09
1442,16.05.13,16.05,16,Purwodadi,Musi Rawas,Sumatera Selatan,16.05.13
1443,16.05.10,16.05,16,STL Ulu Terawas,Musi Rawas,Sumatera Selatan,16.05.10
1444,16.05.11,16.05,16,Selangit,Musi Rawas,Sumatera Selatan,16.05.11
1445,18.08.13,18.08,18,Buay Bahuga,Way Kanan,Lampung,18.08.13
1446,16.05.14,16.05,16,BTS. Ulu,Musi Rawas,Sumatera Selatan,16.05.14
1447,18.08.14,18.08,18,Bumi Agung,Way Kanan,Lampung,18.08.14
1448,18.08.11,18.08,18,Negara Batin,Way Kanan,Lampung,18.08.11
1449,18.08.12,18.08,18,Negeri Besar,Way Kanan,Lampung,18.08.12
1450,18.08.15,18.08,18,Umpu Semenguk,Way Kanan,Lampung,18.08.15
1451,63.09.05,63.09,63,Haruai,Tabalong,Kalimantan Selatan,63.09.05
1452,63.09.06,63.09,63,Murung Pudak,Tabalong,Kalimantan Selatan,63.09.06
1453,63.09.03,63.09,63,Tanta,Tabalong,Kalimantan Selatan,63.09.03
1454,63.09.04,63.09,63,Tanjung,Tabalong,Kalimantan Selatan,63.09.04
1455,72.03.09,72.03,72,Labuan,Donggala,Sulawesi Tengah,72.03.09
1456,63.09.09,63.09,63,Pugaan,Tabalong,Kalimantan Selatan,63.09.09
1457,74.13.06,74.13,74,Maginti,Muna Barat,Sulawesi Tenggara,74.13.06
1458,74.13.07,74.13,74,Tiworo Tengah,Muna Barat,Sulawesi Tenggara,74.13.07
1459,63.09.07,63.09,63,Muara Uya,Tabalong,Kalimantan Selatan,63.09.07
1460,72.03.08,72.03,72,Banawa,Donggala,Sulawesi Tengah,72.03.08
1461,72.06.05,72.06,72,Bungku Tengah,Morowali,Sulawesi Tengah,72.06.05
1462,18.08.10,18.08,18,Gunung Labuhan,Way Kanan,Lampung,18.08.10
1463,74.13.04,74.13,74,Wadaga,Muna Barat,Sulawesi Tenggara,74.13.04
1464,63.09.08,63.09,63,Muara Harus,Tabalong,Kalimantan Selatan,63.09.08
1465,74.13.05,74.13,74,Tiworo Selatan,Muna Barat,Sulawesi Tenggara,74.13.05
1466,72.06.08,72.06,72,Bungku Barat,Morowali,Sulawesi Tengah,72.06.08
1467,74.13.08,74.13,74,Tiworo Utara,Muna Barat,Sulawesi Tenggara,74.13.08
1468,72.06.09,72.06,72,Bumi Raya,Morowali,Sulawesi Tengah,72.06.09
1469,72.06.06,72.06,72,Bungku Selatan,Morowali,Sulawesi Tengah,72.06.06
1470,74.13.09,74.13,74,Tiworo Kepulauan,Muna Barat,Sulawesi Tenggara,74.13.09
1471,63.09.12,63.09,63,Bintang Ara,Tabalong,Kalimantan Selatan,63.09.12
1472,82.02.10,82.02,82,Patani Timur,Halmahera Tengah,Maluku Utara,82.02.10
1473,72.06.07,72.06,72,Menui Kepulauan,Morowali,Sulawesi Tengah,72.06.07
1474,16.05.18,16.05,16,Tiang Pumpung Kepungut,Musi Rawas,Sumatera Selatan,16.05.18
1475,63.09.10,63.09,63,Upau,Tabalong,Kalimantan Selatan,63.09.10
1476,19.03.01,19.03,19,Toboali,Bangka Selatan,Kepulauan Bangka Belitung,19.03.01
1477,16.05.19,16.05,16,Sumber Harta,Musi Rawas,Sumatera Selatan,16.05.19
1478,63.09.11,63.09,63,Jaro,Tabalong,Kalimantan Selatan,63.09.11
1479,72.03.06,72.03,72,Dampelas,Donggala,Sulawesi Tengah,72.03.06
1480,74.13.02,74.13,74,Barangka,Muna Barat,Sulawesi Tenggara,74.13.02
1481,74.13.03,74.13,74,Lawa,Muna Barat,Sulawesi Tenggara,74.13.03
1482,91.16.02,91.16,91,Mindiptana,Boven Digoel,Papua Selatan,91.16.02
1483,72.03.04,72.03,72,Rio Pakava,Donggala,Sulawesi Tengah,72.03.04
1484,91.16.03,91.16,91,Waropko,Boven Digoel,Papua Selatan,91.16.03
1485,72.06.12,72.06,72,Wita Ponda,Morowali,Sulawesi Tengah,72.06.12
1486,74.13.01,74.13,74,Sawerigadi,Muna Barat,Sulawesi Tenggara,74.13.01
1487,72.06.10,72.06,72,Bahodopi,Morowali,Sulawesi Tengah,72.06.10
1488,32.71.01,32.71,32,Bogor Selatan,Kota Bogor,Jawa Barat,32.71.01
1489,91.16.01,91.16,91,Mandobo,Boven Digoel,Papua Selatan,91.16.01
1490,16.05.21,16.05,16,Suka Karya,Musi Rawas,Sumatera Selatan,16.05.21
1491,16.05.20,16.05,16,Tuah Negeri,Musi Rawas,Sumatera Selatan,16.05.20
1492,19.03.04,19.03,19,Simpang Rimba,Bangka Selatan,Kepulauan Bangka Belitung,19.03.04
1493,19.03.05,19.03,19,Payung,Bangka Selatan,Kepulauan Bangka Belitung,19.03.05
1494,19.03.02,19.03,19,Lepar Pongok,Bangka Selatan,Kepulauan Bangka Belitung,19.03.02
1495,19.03.03,19.03,19,Air Gegas,Bangka Selatan,Kepulauan Bangka Belitung,19.03.03
1496,72.03.18,72.03,72,Banawa Selatan,Donggala,Sulawesi Tengah,72.03.18
1497,19.03.08,19.03,19,Kepulauan Pongok,Bangka Selatan,Kepulauan Bangka Belitung,19.03.08
1498,72.06.15,72.06,72,Bungku Pesisir,Morowali,Sulawesi Tengah,72.06.15
1499,91.16.06,91.16,91,Bomakia,Boven Digoel,Papua Selatan,91.16.06
1500,72.03.19,72.03,72,Tanantovea,Donggala,Sulawesi Tengah,72.03.19
1501,91.16.07,91.16,91,Kombut,Boven Digoel,Papua Selatan,91.16.07
1502,19.03.06,19.03,19,Tukak Sadai,Bangka Selatan,Kepulauan Bangka Belitung,19.03.06
1503,91.16.04,91.16,91,Kouh,Boven Digoel,Papua Selatan,91.16.04
1504,19.03.07,19.03,19,Pulaubesar,Bangka Selatan,Kepulauan Bangka Belitung,19.03.07
1505,91.16.05,91.16,91,Jair,Boven Digoel,Papua Selatan,91.16.05
1506,72.03.12,72.03,72,Balaesang,Donggala,Sulawesi Tengah,72.03.12
1507,91.16.08,91.16,91,Iniyandit,Boven Digoel,Papua Selatan,91.16.08
1508,72.06.18,72.06,72,Bungku Timur,Morowali,Sulawesi Tengah,72.06.18
1509,91.16.09,91.16,91,Arimop,Boven Digoel,Papua Selatan,91.16.09
1510,72.03.10,72.03,72,Sindue,Donggala,Sulawesi Tengah,72.03.10
1511,74.13.10,74.13,74,Kusambi,Muna Barat,Sulawesi Tenggara,74.13.10
1512,72.03.11,72.03,72,Sirenja,Donggala,Sulawesi Tengah,72.03.11
1513,91.16.10,91.16,91,Fofi,Boven Digoel,Papua Selatan,91.16.10
1514,72.03.14,72.03,72,Sojol,Donggala,Sulawesi Tengah,72.03.14
1515,91.16.13,91.16,91,Firiwage,Boven Digoel,Papua Selatan,91.16.13
1516,74.13.11,74.13,74,Napano Kusambi,Muna Barat,Sulawesi Tenggara,74.13.11
1517,91.16.14,91.16,91,Yaniruma,Boven Digoel,Papua Selatan,91.16.14
1518,91.16.11,91.16,91,Ambatkwi,Boven Digoel,Papua Selatan,91.16.11
1519,91.16.12,91.16,91,Manggelum,Boven Digoel,Papua Selatan,91.16.12
1520,53.19.10,53.19,53,Kota Komba Utara,Manggarai Timur,Nusa Tenggara Timur,53.19.10
1521,53.19.11,53.19,53,Lamba Leda Utara,Manggarai Timur,Nusa Tenggara Timur,53.19.11
1522,91.16.17,91.16,91,Ninati,Boven Digoel,Papua Selatan,91.16.17
1523,32.75.08,32.75,32,Pondokgede,Kota Bekasi,Jawa Barat,32.75.08
1524,91.16.18,91.16,91,Sesnuk,Boven Digoel,Papua Selatan,91.16.18
1525,32.75.09,32.75,32,Jatiasih,Kota Bekasi,Jawa Barat,32.75.09
1526,91.16.15,91.16,91,Subur,Boven Digoel,Papua Selatan,91.16.15
1527,32.75.06,32.75,32,Medansatria,Kota Bekasi,Jawa Barat,32.75.06
1528,91.16.16,91.16,91,Kombay,Boven Digoel,Papua Selatan,91.16.16
1529,32.75.07,32.75,32,Bantargebang,Kota Bekasi,Jawa Barat,32.75.07
1530,91.16.19,91.16,91,Ki,Boven Digoel,Papua Selatan,91.16.19
1531,72.03.24,72.03,72,Sindue Tombusabora,Donggala,Sulawesi Tengah,72.03.24
1532,72.03.21,72.03,72,Pinembani,Donggala,Sulawesi Tengah,72.03.21
1533,33.74.02,33.74,33,Semarang Utara,Kota Semarang,Jawa Tengah,33.74.02
1534,32.75.11,32.75,32,Mustikajaya,Kota Bekasi,Jawa Barat,32.75.11
1535,33.74.03,33.74,33,Semarang Timur,Kota Semarang,Jawa Tengah,33.74.03
1536,72.03.27,72.03,72,Banawa Tengah,Donggala,Sulawesi Tengah,72.03.27
1537,32.75.12,32.75,32,Pondokmelati,Kota Bekasi,Jawa Barat,32.75.12
1538,33.74.01,33.74,33,Semarang Tengah,Kota Semarang,Jawa Tengah,33.74.01
1539,72.03.25,72.03,72,Sindue Tobata,Donggala,Sulawesi Tengah,72.03.25
1540,32.75.10,32.75,32,Jatisampurna,Kota Bekasi,Jawa Barat,32.75.10
1541,53.19.12,53.19,53,Congkar,Manggarai Timur,Nusa Tenggara Timur,53.19.12
1542,14.03.09,14.03,14,Mandau,Bengkalis,Riau,14.03.09
1543,33.74.06,33.74,33,Pedurungan,Kota Semarang,Jawa Tengah,33.74.06
1544,33.74.07,33.74,33,Semarang Selatan,Kota Semarang,Jawa Tengah,33.74.07
1545,33.74.04,33.74,33,Gayamsari,Kota Semarang,Jawa Tengah,33.74.04
1546,33.74.05,33.74,33,Genuk,Kota Semarang,Jawa Tengah,33.74.05
1547,14.03.12,14.03,14,Siak Kecil,Bengkalis,Riau,14.03.12
1548,14.03.13,14.03,14,Pinggir,Bengkalis,Riau,14.03.13
1549,14.03.10,14.03,14,Rupat,Bengkalis,Riau,14.03.10
1550,33.74.08,33.74,33,Candisari,Kota Semarang,Jawa Tengah,33.74.08
1551,14.03.11,14.03,14,Rupat Utara,Bengkalis,Riau,14.03.11
1552,33.74.09,33.74,33,Gajahmungkur,Kota Semarang,Jawa Tengah,33.74.09
1553,14.03.16,14.03,14,Bathin Solapan,Bengkalis,Riau,14.03.16
1554,33.74.10,33.74,33,Tembalang,Kota Semarang,Jawa Tengah,33.74.10
1555,14.03.14,14.03,14,Bandar Laksamana,Bengkalis,Riau,14.03.14
1556,14.03.15,14.03,14,Talang Muandau,Bengkalis,Riau,14.03.15
1557,63.03.07,63.03,63,Astambul,Banjar,Kalimantan Selatan,63.03.07
1558,33.74.13,33.74,33,Semarang Barat,Kota Semarang,Jawa Tengah,33.74.13
1559,63.03.08,63.03,63,Simpang Empat,Banjar,Kalimantan Selatan,63.03.08
1560,33.74.14,33.74,33,Mijen,Kota Semarang,Jawa Tengah,33.74.14
1561,63.03.05,63.03,63,Martapura,Banjar,Kalimantan Selatan,63.03.05
1562,33.74.11,33.74,33,Banyumanik,Kota Semarang,Jawa Tengah,33.74.11
1563,63.03.06,63.03,63,Karang Intan,Banjar,Kalimantan Selatan,63.03.06
1564,33.74.12,33.74,33,Gunungpati,Kota Semarang,Jawa Tengah,33.74.12
1565,63.03.09,63.03,63,Pengaron,Banjar,Kalimantan Selatan,63.03.09
1566,63.03.03,63.03,63,Gambut,Banjar,Kalimantan Selatan,63.03.03
1567,63.03.04,63.03,63,Sungai Tabuk,Banjar,Kalimantan Selatan,63.03.04
1568,63.03.01,63.03,63,Aluh Aluh,Banjar,Kalimantan Selatan,63.03.01
1569,63.03.02,63.03,63,Kertak Hanyar,Banjar,Kalimantan Selatan,63.03.02
1570,36.02.19,36.02,36,Cibeber,Lebak,Banten,36.02.19
1571,13.75.01,13.75,13,Guguak Panjang,Kota Bukittinggi,Sumatera Barat,13.75.01
1572,36.02.17,36.02,36,Cikulur,Lebak,Banten,36.02.17
1573,13.75.02,13.75,13,Mandiangin K. Selayan,Kota Bukittinggi,Sumatera Barat,13.75.02
1574,36.02.18,36.02,36,Cibadak,Lebak,Banten,36.02.18
1575,63.03.18,63.03,63,Telaga Bauntung,Banjar,Kalimantan Selatan,63.03.18
1576,63.03.19,63.03,63,Tatah Makmur,Banjar,Kalimantan Selatan,63.03.19
1577,63.03.16,63.03,63,Sambung Makmur,Banjar,Kalimantan Selatan,63.03.16
1578,36.02.22,36.02,36,Sobang,Lebak,Banten,36.02.22
1579,63.03.17,63.03,63,Paramasan,Banjar,Kalimantan Selatan,63.03.17
1580,15.08.05,15.08,15,Tanah Sepenggal,Bungo,Jambi,15.08.05
1581,36.02.23,36.02,36,Curug Bitung,Lebak,Banten,36.02.23
1582,15.08.06,15.08,15,Pelepat,Bungo,Jambi,15.08.06
1583,36.02.20,36.02,36,Cilograng,Lebak,Banten,36.02.20
1584,15.08.03,15.08,15,Pasar Muaro Bungo,Bungo,Jambi,15.08.03
1585,36.02.21,36.02,36,Wanasalam,Lebak,Banten,36.02.21
1586,15.08.04,15.08,15,Jujuhan,Bungo,Jambi,15.08.04
1587,36.02.26,36.02,36,Cihara,Lebak,Banten,36.02.26
1588,15.08.09,15.08,15,Pelepat Ilir,Bungo,Jambi,15.08.09
1589,36.02.27,36.02,36,Cirinten,Lebak,Banten,36.02.27
1590,63.03.10,63.03,63,Sungai Pinang,Banjar,Kalimantan Selatan,63.03.10
1591,36.02.24,36.02,36,Kalanganyar,Lebak,Banten,36.02.24
1592,63.03.11,63.03,63,Aranio,Banjar,Kalimantan Selatan,63.03.11
1593,15.08.07,15.08,15,Limbur Lubuk Mengkuang,Bungo,Jambi,15.08.07
1594,36.02.25,36.02,36,Lebakgedong,Lebak,Banten,36.02.25
1595,15.08.08,15.08,15,Muko-muko Bathin VII,Bungo,Jambi,15.08.08
1596,63.03.14,63.03,63,Martapura Barat,Banjar,Kalimantan Selatan,63.03.14
1597,63.03.15,63.03,63,Martapura Timur,Banjar,Kalimantan Selatan,63.03.15
1598,63.03.12,63.03,63,Mataraman,Banjar,Kalimantan Selatan,63.03.12
1599,63.03.13,63.03,63,Beruntung Baru,Banjar,Kalimantan Selatan,63.03.13
1600,15.08.01,15.08,15,Tanah Tumbuh,Bungo,Jambi,15.08.01
1601,15.08.02,15.08,15,Rantau Pandan,Bungo,Jambi,15.08.02
1602,32.13.04,32.13,32,Kalijati,Subang,Jawa Barat,32.13.04
1603,32.13.05,32.13,32,Pabuaran,Subang,Jawa Barat,32.13.05
1604,32.13.02,32.13,32,Cisalak,Subang,Jawa Barat,32.13.02
1605,32.13.03,32.13,32,Subang,Subang,Jawa Barat,32.13.03
1606,32.13.08,32.13,32,Binong,Subang,Jawa Barat,32.13.08
1607,36.02.28,36.02,36,Cigemlong,Lebak,Banten,36.02.28
1608,32.13.09,32.13,32,Ciasem,Subang,Jawa Barat,32.13.09
1609,32.13.06,32.13,32,Purwadadi,Subang,Jawa Barat,32.13.06
1610,32.13.07,32.13,32,Pagaden,Subang,Jawa Barat,32.13.07
1611,91.10.09,91.10,91,Apawer Hulu,Sarmi,Papua,91.10.09
1612,92.03.09,92.03,92,Teluk Patipi,Fak Fak,Papua Barat,92.03.09
1613,15.08.16,15.08,15,Jujuhan Ilir,Bungo,Jambi,15.08.16
1614,15.08.17,15.08,15,Tanah Sepenggal Lintas,Bungo,Jambi,15.08.17
1615,32.13.01,32.13,32,Sagalaherang,Subang,Jawa Barat,32.13.01
1616,15.08.14,15.08,15,Bathin III Ulu,Bungo,Jambi,15.08.14
1617,15.08.15,15.08,15,Bathin II Pelayang,Bungo,Jambi,15.08.15
1618,92.03.03,92.03,92,Fak-Fak Timur,Fak Fak,Papua Barat,92.03.03
1619,92.03.04,92.03,92,Kokas,Fak Fak,Papua Barat,92.03.04
1620,91.10.01,91.10,91,Sarmi,Sarmi,Papua,91.10.01
1621,92.03.01,92.03,92,Fak-Fak,Fak Fak,Papua Barat,92.03.01
1622,92.03.02,92.03,92,Fak-Fak Barat,Fak Fak,Papua Barat,92.03.02
1623,63.03.20,63.03,63,Cintapuri Darussalam,Banjar,Kalimantan Selatan,63.03.20
1624,92.03.07,92.03,92,Bomberay,Fak Fak,Papua Barat,92.03.07
1625,91.10.04,91.10,91,Pantai Timur,Sarmi,Papua,91.10.04
1626,92.03.08,92.03,92,Kramongmongga,Fak Fak,Papua Barat,92.03.08
1627,91.10.05,91.10,91,Bonggo,Sarmi,Papua,91.10.05
1628,92.03.05,92.03,92,Fak-Fak Tengah,Fak Fak,Papua Barat,92.03.05
1629,91.10.02,91.10,91,Tor Atas,Sarmi,Papua,91.10.02
1630,92.03.06,92.03,92,Karas,Fak Fak,Papua Barat,92.03.06
1631,91.10.03,91.10,91,Pantai Barat,Sarmi,Papua,91.10.03
1632,15.08.12,15.08,15,Bungo Dani,Bungo,Jambi,15.08.12
1633,15.08.13,15.08,15,Rimbo Tengah,Bungo,Jambi,15.08.13
1634,15.08.10,15.08,15,Batin II Babeko,Bungo,Jambi,15.08.10
1635,15.08.11,15.08,15,Bathin III,Bungo,Jambi,15.08.11
1636,71.08.03,71.08,71,Bolangitang Timur,Bolaang Mongondow Utara,Sulawesi Utara,71.08.03
1637,73.03.08,73.03,73,Sinoa,Bantaeng,Sulawesi Selatan,73.03.08
1638,71.08.04,71.08,71,Bolangitang Barat,Bolaang Mongondow Utara,Sulawesi Utara,71.08.04
1639,71.08.01,71.08,71,Sangkub,Bolaang Mongondow Utara,Sulawesi Utara,71.08.01
1640,73.03.06,73.03,73,Uluere,Bantaeng,Sulawesi Selatan,73.03.06
1641,71.08.02,71.08,71,Bintauna,Bolaang Mongondow Utara,Sulawesi Utara,71.08.02
1642,73.03.07,73.03,73,Gantarang Keke,Bantaeng,Sulawesi Selatan,73.03.07
1643,32.13.15,32.13,32,Compreng,Subang,Jawa Barat,32.13.15
1644,32.13.16,32.13,32,Patokbeusi,Subang,Jawa Barat,32.13.16
1645,32.13.13,32.13,32,Blanakan,Subang,Jawa Barat,32.13.13
1646,32.13.14,32.13,32,Tanjungsiang,Subang,Jawa Barat,32.13.14
1647,32.13.19,32.13,32,Cijambe,Subang,Jawa Barat,32.13.19
1648,73.03.01,73.03,73,Bissappu,Bantaeng,Sulawesi Selatan,73.03.01
1649,32.13.17,32.13,32,Cibogo,Subang,Jawa Barat,32.13.17
1650,32.13.18,32.13,32,Cipunagara,Subang,Jawa Barat,32.13.18
1651,73.03.04,73.03,73,Tompo Bulu,Bantaeng,Sulawesi Selatan,73.03.04
1652,73.03.05,73.03,73,Pajukukang,Bantaeng,Sulawesi Selatan,73.03.05
1653,73.03.02,73.03,73,Bantaeng,Bantaeng,Sulawesi Selatan,73.03.02
1654,73.03.03,73.03,73,Eremerasa,Bantaeng,Sulawesi Selatan,73.03.03
1655,32.13.11,32.13,32,Pamanukan,Subang,Jawa Barat,32.13.11
